img1_index,img2_index,img1_name,img2_name,inliers,overlap
15,23,frame000015.png,frame000023.png,103,0.0709366391184573
15,24,frame000015.png,frame000024.png,86,0.05922865013774105
15,25,frame000015.png,frame000025.png,81,0.05578512396694215
15,26,frame000015.png,frame000026.png,93,0.0640495867768595
15,28,frame000015.png,frame000028.png,87,0.05991735537190083
15,29,frame000015.png,frame000029.png,109,0.07506887052341597
15,30,frame000015.png,frame000030.png,86,0.05922865013774105
16,17,frame000016.png,frame000017.png,694,0.38641425389755013
16,18,frame000016.png,frame000018.png,506,0.28701077708451506
16,19,frame000016.png,frame000019.png,393,0.23240685984624482
16,20,frame000016.png,frame000020.png,297,0.17167630057803468
16,21,frame000016.png,frame000021.png,245,0.13849632560768796
16,22,frame000016.png,frame000022.png,183,0.10189309576837416
16,23,frame000016.png,frame000023.png,160,0.08908685968819599
16,24,frame000016.png,frame000024.png,137,0.07628062360801782
16,25,frame000016.png,frame000025.png,118,0.06570155902004454
16,26,frame000016.png,frame000026.png,128,0.07126948775055679
16,27,frame000016.png,frame000027.png,124,0.06904231625835189
16,28,frame000016.png,frame000028.png,111,0.06180400890868597
16,29,frame000016.png,frame000029.png,139,0.07739420935412027
16,30,frame000016.png,frame000030.png,137,0.07628062360801782
16,31,frame000016.png,frame000031.png,138,0.07683741648106904
16,32,frame000016.png,frame000032.png,129,0.07182628062360802
16,33,frame000016.png,frame000033.png,94,0.052338530066815145
17,18,frame000017.png,frame000018.png,711,0.4032898468519569
17,19,frame000017.png,frame000019.png,499,0.29509166173861623
17,20,frame000017.png,frame000020.png,385,0.22254335260115607
17,21,frame000017.png,frame000021.png,294,0.16619559072922555
17,22,frame000017.png,frame000022.png,216,0.11920529801324503
17,23,frame000017.png,frame000023.png,191,0.1054083885209713
17,24,frame000017.png,frame000024.png,168,0.09271523178807947
17,25,frame000017.png,frame000025.png,150,0.08278145695364239
17,26,frame000017.png,frame000026.png,157,0.08664459161147903
17,27,frame000017.png,frame000027.png,164,0.09050772626931568
17,28,frame000017.png,frame000028.png,166,0.09161147902869757
17,29,frame000017.png,frame000029.png,139,0.07671081677704195
17,30,frame000017.png,frame000030.png,160,0.08830022075055188
17,31,frame000017.png,frame000031.png,150,0.08278145695364239
17,32,frame000017.png,frame000032.png,113,0.06236203090507726
17,33,frame000017.png,frame000033.png,103,0.05684326710816777
17,34,frame000017.png,frame000034.png,86,0.04746136865342163
18,19,frame000018.png,frame000019.png,653,0.38616203429923124
18,20,frame000018.png,frame000020.png,471,0.2722543352601156
18,21,frame000018.png,frame000021.png,341,0.19342030629608623
18,22,frame000018.png,frame000022.png,274,0.15541690300623937
18,23,frame000018.png,frame000023.png,228,0.12932501418037437
18,24,frame000018.png,frame000024.png,203,0.11514463981849121
18,25,frame000018.png,frame000025.png,185,0.10493477027793534
18,26,frame000018.png,frame000026.png,197,0.11174134997163924
18,27,frame000018.png,frame000027.png,174,0.09869540555870675
18,28,frame000018.png,frame000028.png,191,0.10833806012478729
18,29,frame000018.png,frame000029.png,190,0.10777084515031196
18,30,frame000018.png,frame000030.png,175,0.09926262053318208
18,31,frame000018.png,frame000031.png,143,0.08111174134997164
18,32,frame000018.png,frame000032.png,111,0.06296086216676121
18,33,frame000018.png,frame000033.png,95,0.05388542257515598
19,20,frame000019.png,frame000020.png,602,0.35600236546422237
19,21,frame000019.png,frame000021.png,426,0.25192193968066234
19,22,frame000019.png,frame000022.png,323,0.19101123595505617
19,23,frame000019.png,frame000023.png,278,0.16439976345357776
19,24,frame000019.png,frame000024.png,256,0.15138971023063277
19,25,frame000019.png,frame000025.png,219,0.12950916617386163
19,26,frame000019.png,frame000026.png,216,0.1277350680070964
19,27,frame000019.png,frame000027.png,223,0.13187463039621525
19,28,frame000019.png,frame000028.png,189,0.11176818450620934
19,29,frame000019.png,frame000029.png,183,0.10821998817267889
19,30,frame000019.png,frame000030.png,173,0.1023063276167948
19,31,frame000019.png,frame000031.png,141,0.0833826138379657
19,32,frame000019.png,frame000032.png,107,0.06327616794795979
19,33,frame000019.png,frame000033.png,92,0.054405677114133646
20,21,frame000020.png,frame000021.png,636,0.3676300578034682
20,22,frame000020.png,frame000022.png,491,0.2838150289017341
20,23,frame000020.png,frame000023.png,391,0.22601156069364162
20,24,frame000020.png,frame000024.png,361,0.20867052023121388
20,25,frame000020.png,frame000025.png,329,0.19017341040462427
20,26,frame000020.png,frame000026.png,325,0.18786127167630057
20,27,frame000020.png,frame000027.png,317,0.18323699421965317
20,28,frame000020.png,frame000028.png,266,0.15375722543352602
20,29,frame000020.png,frame000029.png,259,0.14971098265895955
